Internal ID,Order Type,Date Created,PMM Order Date,Document Number,In Report 3?,Status,Requested Pickup Date,Actual Carrier Pickup Date,Actual Carrier Delivery Date,Pick-Up Ergent?,Name-Receiver/Destination,Donor,Carrier Code,Subsidy Amount,Actual Freight Cost,Total Order Pounds,Total Gross Weight Fulfilled,Miles,Shipping Method Code,Drop Off Member 1,Drop Off Member 2,Drop Off Member 3,Drop Off Member 4
48525510,Produce,2020/11/2 9:21,2020/11/2,PR48525510,1,Billed,2020/11/4,,,2,Cust-2247 Indianapolis Co-op,"V-102479 Billingsley Produce Sales, Inc.",CR10049,"-1,500.00","2,400.00",42000,42000,858.1,Vendor Arranged,Cust-2247,,,
48525511,Produce,2020/11/2 9:21,2020/11/2,PR48525511,1,Billed,2020/11/10,,,8,Cust-2247 Indianapolis Co-op,"V-102479 Billingsley Produce Sales, Inc.",CR10049,"-1,500.00","2,400.00",42000,42000,858.1,Vendor Arranged,Cust-2247,,,
48525512,Produce,2020/11/2 9:21,2020/11/2,PR48525512,1,Billed,2020/11/10,,,8,Cust-2247 Indianapolis Co-op,"V-102479 Billingsley Produce Sales, Inc.",CR10049,"-1,500.00","2,400.00",42000,42000,858.1,Vendor Arranged,Cust-2247,,,
48525513,Produce,2020/11/2 9:21,2020/11/2,PR48525513,1,Partially Fulfilled,2020/11/11,,,9,Cust-2247 Indianapolis Co-op,"V-102479 Billingsley Produce Sales, Inc.",CR10049,"-1,500.00","2,400.00",42000,40000,858.1,Vendor Arranged,Cust-2247,,,
48525514,Produce,2020/11/2 9:21,2020/11/2,PR48525514,1,Billed,2020/11/11,,,9,Cust-2247 Indianapolis Co-op,"V-102479 Billingsley Produce Sales, Inc.",CR10049,"-1,500.00","2,400.00",42000,42000,858.1,Vendor Arranged,Cust-2247,,,
48525523,Produce,2020/11/2 9:41,2020/11/2,PR48525523,1,Billed,2020/11/3,,,1,"Cust-2042 Louisville, KY Food Bank (FB)","V-102479 Billingsley Produce Sales, Inc.",CR10049,"-1,500.00","2,450.00",42000,42000,927.8,Vendor Arranged,Cust-2042,,,
48525943,Produce,2020/11/2 9:50,2020/11/2,PR48525943,1,Billed,2020/11/5,2020/11/5,2020/11/10,3,"Cust-2199 New York, New York Food Bank (FB)",V-101024 Feeding Washington,CR10034,"-1,500.00","7,866.67",37950,37950,2741,FA Arranged,Cust-2199,,,
48526274,Produce,2020/11/2 10:15,2020/11/2,PR48526274,1,Billed,2020/11/14,2020/11/16,2020/11/17,12,"Cust-2142 Sioux Falls, South Dakota Food Bank (FB)",V-100921 BUSHMANS INC,CR10002,"-1,500.00","3,080.24",40000,40000,751,FA Arranged,Cust-2142,,,
48526690,Produce,2020/11/2 11:05,2020/11/2,PR48526690,1,Billed,2020/11/6,,,4,Cust-2245 Philadelphia Co-op,"V-101004 Irving Farms Marketing, Inc.",CR10038,"-1,500.00","2,520.00",40000,40000,769,Vendor Arranged,Cust-2245,,,
48526695,Produce,2020/11/2 11:10,2020/11/2,PR48526695,1,Billed,2020/11/10,,,8,Cust-2245 Philadelphia Co-op,"V-101004 Irving Farms Marketing, Inc.",CR10038,"-1,500.00","2,520.00",40000,40000,769,Vendor Arranged,Cust-2245,,,
48526696,Produce,2020/11/2 11:15,2020/11/2,PR48526696,1,Partially Fulfilled,2020/11/17,,,15,Cust-2245 Philadelphia Co-op,"V-101004 Irving Farms Marketing, Inc.",CR10038,"-1,500.00","2,500.00",40000,40000,740,Vendor Arranged,Cust-2245,,,
48526698,Produce,2020/11/2 11:20,2020/11/2,PR48526698,1,Billed,2020/11/13,,,11,Cust-2245 Philadelphia Co-op,"V-101004 Irving Farms Marketing, Inc.",CR10038,"-1,500.00","2,520.00",40000,40000,717.6,Vendor Arranged,Cust-2245,,,
48526702,Produce,2020/11/2 11:25,2020/11/2,PR48526702,1,Billed,2020/11/5,2020/11/6,2020/11/7,3,Cust-2245 Philadelphia Co-op,V-101080 Dayoub Marketing Inc.,CR10034,"-1,500.00","1,684.44",42000,42000,356,FA Arranged,Cust-2245,,,
48526705,Produce,2020/11/2 11:35,2020/11/2,PR48526705,1,Billed,2020/11/3,,,1,"Cust-2078 Brooklyn Park, MN Food Bank (FB)","V-102819 4D Farm Product Sales, Inc.",CR10097,"-1,500.00","2,750.00",38400,38400,1202.8,Vendor Arranged,Cust-2078,,,
48526706,Produce,2020/11/2 11:35,2020/11/2,PR48526706,1,Billed,2020/11/6,,,4,"Cust-2078 Brooklyn Park, MN Food Bank (FB)","V-102819 4D Farm Product Sales, Inc.",CR10097,"-1,500.00","2,750.00",38400,38400,1202.8,Vendor Arranged,Cust-2078,,,
48526707,Produce,2020/11/2 11:40,2020/11/2,PR48526707,1,Billed,2020/11/3,,,1,"Cust-2086 Washington, DC Food Bank (FB)",V-101044 Western Harvest,CR10043,"-1,500.00","2,050.00",38000,38000,580.1,Vendor Arranged,Cust-2086,,,
48526708,Produce,2020/11/2 11:45,2020/11/2,PR48526708,1,Billed,2020/11/4,,,2,"Cust-2086 Washington, DC Food Bank (FB)",V-101044 Western Harvest,CR10043,"-1,500.00","2,050.00",38000,38000,580.1,Vendor Arranged,Cust-2086,,,
48526712,Produce,2020/11/2 12:00,2020/11/2,PR48526712,1,Billed,2020/11/6,2020/11/6,2020/11/9,4,Cust-2271 Austin Co-op,V-100995 Torrey Farms Inc,CR10034,"-1,500.00","3,084.84",40000,40000,1476,FA Arranged,Cust-2271,,,
48527942,Produce,2020/11/2 14:10,2020/11/2,PR48527942,1,Partially Fulfilled,2020/11/10,,,8,"Cust-2199 New York, New York Food Bank (FB)",V-101044 Western Harvest,CR10043,"-1,500.00","2,200.00",30000,30000,372,Vendor Arranged,Cust-2199,,,
48527945,Produce,2020/11/2 14:30,2020/11/2,PR48527945,1,Billed,2020/11/6,2020/11/7,2020/11/9,4,"Cust-2199 New York, New York Food Bank (FB)","V-101004 Irving Farms Marketing, Inc.",CR10034,"-1,500.00","2,148.37",40000,40000,653,FA Arranged,Cust-2199,,,
48527946,Produce,2020/11/2 14:35,2020/11/2,PR48527946,1,Billed,2020/11/5,,,3,"Cust-2199 New York, New York Food Bank (FB)",V-101044 Western Harvest,CR10043,"-1,500.00","2,200.00",37200,37200,372,Vendor Arranged,Cust-2199,,,
48531165,Produce,2020/11/2 15:20,2020/11/2,PR48531165,1,Billed,2020/11/3,2020/11/3,2020/11/4,1,"Cust-2004 Atlanta, GA Food Bank (FB)","V-103000 Grower Network, LLC",CR10005,"-1,025.00","1,025.00",39600,39600,238,FA Arranged,Cust-2004,,,
48558169,Produce,2020/11/3 9:25,2020/11/3,PR48558169,1,Billed,2020/11/4,2020/11/4,2020/11/10,1,"Cust-2199 New York, New York Food Bank (FB)",V-101510 Yuma Community Food Bank,CR10002,"-1,500.00","9,436.24",40000,40000,2651,FA Arranged,Cust-2199,,,
48558191,Produce,2020/11/3 10:15,2020/11/3,PR48558191,1,Billed,2020/11/4,2020/11/6,2020/11/7,1,Cust-2245 Philadelphia Co-op,V-100995 Torrey Farms Inc,CR10104,"-1,500.00","1,881.60",40000,40000,340,FA Arranged,Cust-2245,,,
48558192,Produce,2020/11/3 10:15,2020/11/3,PR48558192,1,Billed,2020/11/5,2020/11/9,2020/11/10,2,Cust-2245 Philadelphia Co-op,V-100995 Torrey Farms Inc,CR10104,"-1,500.00","1,980.60",40000,40000,340,FA Arranged,Cust-2245,,,
48558193,Produce,2020/11/3 10:20,2020/11/3,PR48558193,1,Partially Fulfilled,2020/11/16,2020/11/16,2020/11/17,13,"Cust-2078 Brooklyn Park, MN Food Bank (FB)","V-101121 Associated Potato Growers, Inc.",CR10024,"-1,353.20","1,353.20",40000,31590,305,FA Arranged,Cust-2078,,,
48558375,Produce,2020/11/3 11:10,2020/11/3,PR48558375,1,Billed,2020/11/6,2020/11/6,2020/11/10,3,"Cust-2125 Lexington, Kentucky Food Bank (FB)",V-103043 Collaborative For Fresh Produce,CR10034,"-1,500.00","4,185.04",42000,42000,1371,FA Arranged,Cust-2125,,,
48558575,Produce,2020/11/3 10:25,2020/11/3,PR48558575,1,Partially Fulfilled,2020/11/16,2020/11/16,2020/11/17,13,"Cust-2078 Brooklyn Park, MN Food Bank (FB)","V-101121 Associated Potato Growers, Inc.",CR10024,"-1,332.08","1,332.08",40000,37714,342,FA Arranged,Cust-2078,,,
48558576,Produce,2020/11/3 10:55,2020/11/3,PR48558576,1,Billed,2020/11/5,2020/11/5,2020/11/6,2,"Cust-2125 Lexington, Kentucky Food Bank (FB)",V-101001 Lynn-Ette & Sons,CR10002,"-1,500.00","2,200.00",40000,40000,576,FA Arranged,Cust-2125,,,
48558780,Produce,2020/11/3 10:31,2020/11/3,PR48558780,1,Billed,2020/11/13,,,10,"Cust-2160 Kingsport, Tennessee Food Bank (FB)","V-102479 Billingsley Produce Sales, Inc.",CR10049,"-1,500.00","2,600.00",42000,42000,942.2,Vendor Arranged,Cust-2160,,,
48558781,Produce,2020/11/3 10:31,2020/11/3,PR48558781,1,Billed,2020/11/10,,,7,"Cust-2160 Kingsport, Tennessee Food Bank (FB)","V-102479 Billingsley Produce Sales, Inc.",CR10049,"-1,500.00","2,600.00",42000,42000,942.2,Vendor Arranged,Cust-2160,,,
48558782,Produce,2020/11/3 10:31,2020/11/3,PR48558782,1,Billed,2020/11/6,,,3,"Cust-2160 Kingsport, Tennessee Food Bank (FB)","V-102479 Billingsley Produce Sales, Inc.",CR10049,"-1,500.00","2,600.00",42000,42000,942.2,Vendor Arranged,Cust-2160,,,
48558991,Produce,2020/11/3 11:31,2020/11/3,PR48558991,1,Billed,2020/11/9,2020/11/9,2020/11/12,6,"Cust-2024 Denver, Colorado Food Bank (FB)",V-101024 Feeding Washington,CR10034,"-1,500.00","4,483.16",37044,37044,1184,FA Arranged,Cust-2024,,,
48558992,Produce,2020/11/3 11:35,2020/11/3,PR48558992,1,Partially Fulfilled,2020/11/6,,,3,"Cust-2189 Fort Myers, Florida Food Bank (FB)","V-102479 Billingsley Produce Sales, Inc.",CR10049,"-1,500.00","3,750.00",39680,39680,1576.2,Vendor Arranged,Cust-2189,,,
48559028,Produce,2020/11/3 12:20,2020/11/3,PR48559028,1,Billed,2020/11/11,2020/11/11,2020/11/12,8,"Cust-2010 Bronx, New York Food Bank (FB)",V-103016 Chesapeake Farms,CR10001,"-1,500.00","2,514.72",40000,40000,478,FA Arranged,Cust-2010,,,
48559802,Produce,2020/11/3 13:45,2020/11/3,PR48559802,1,Billed,2020/11/17,2020/11/17,2020/11/18,14,"Cust-2010 Bronx, New York Food Bank (FB)",V-103016 Chesapeake Farms,CR10034,"-1,500.00","2,193.72",40000,40000,478,FA Arranged,Cust-2010,,,
48559812,Produce,2020/11/3 14:00,2020/11/3,PR48559812,1,Partially Fulfilled,2020/11/8,,,5,"Cust-2198 Philadelphia, Pennsylvania Food Bank (FB)","V-102479 Billingsley Produce Sales, Inc.",CR10049,"-1,500.00","2,200.00",40000,40000,434.6,Vendor Arranged,Cust-2198,,,
48560805,Produce,2020/11/3 14:05,2020/11/3,PR48560805,1,Billed,2020/11/12,2020/11/12,2020/11/13,9,"Cust-2010 Bronx, New York Food Bank (FB)",V-101001 Lynn-Ette & Sons,CR10077,"-1,500.00","2,300.00",40000,40000,365,FA Arranged,Cust-2010,,,
48560808,Produce,2020/11/3 14:10,2020/11/3,PR48560808,1,Billed,2020/11/5,2020/11/5,2020/11/6,2,"Cust-2010 Bronx, New York Food Bank (FB)",V-100995 Torrey Farms Inc,CR10001,"-1,500.00","1,846.22",40000,40000,353,FA Arranged,Cust-2010,,,
48560809,Produce,2020/11/3 14:50,2020/11/3,PR48560809,1,Billed,2020/11/10,2020/11/10,2020/11/11,7,Cust-2245 Philadelphia Co-op,V-101080 Dayoub Marketing Inc.,CR10077,"-1,500.00","2,020.00",42000,42000,356,FA Arranged,Cust-2245,,,
48563821,Produce,2020/11/3 15:15,2020/11/3,PR48563821,1,Billed,2020/11/12,2020/11/12,2020/11/13,9,Cust-2247 Indianapolis Co-op,V-100995 Torrey Farms Inc,CR10034,"-1,356.03","1,356.03",40320,40320,549,FA Arranged,Cust-2247,,,
48566624,Produce,2020/11/3 15:55,2020/11/3,PR48566624,1,Billed,2020/11/5,2020/11/5,2020/11/6,2,Cust-2245 Philadelphia Co-op,V-101003 Feeding The Carolinas,CR10034,"-1,500.00","1,871.24",40250,40250,301,FA Arranged,Cust-2245,,,
48571162,Produce,2020/11/4 7:20,2020/11/4,PR48571162,1,Billed,2020/11/4,2020/11/4,2020/11/6,0,Cust-2245 Philadelphia Co-op,"V-103000 Grower Network, LLC",CR10005,"-1,500.00","2,400.00",39600,39600,872,FA Arranged,Cust-2245,,,
48571163,Produce,2020/11/4 7:20,2020/11/4,PR48571163,1,Pending Billing/Partially Fulfilled,2020/11/4,2020/11/4,2020/11/5,0,Cust-2245 Philadelphia Co-op,"V-103000 Grower Network, LLC",CR10034,"-1,500.00","2,749.00",39600,19200,883,FA Arranged,Cust-2245,,,
48572683,Produce,2020/11/4 8:40,2020/11/4,PR48572683,1,Pending Billing,2020/11/5,2020/11/5,2020/11/6,1,"Cust-2227 El Paso, Texas Food Bank (FB)",V-101558 Community Food Bank of Southern Arizona,CR10001,"-1,500.00","2,743.12",40000,40000,388,FA Arranged,Cust-2227,,,
48572684,Produce,2020/11/4 8:40,2020/11/4,PR48572684,1,Billed,2020/11/5,2020/11/5,2020/11/6,1,"Cust-2227 El Paso, Texas Food Bank (FB)",V-101558 Community Food Bank of Southern Arizona,CR10029,"-1,500.00","2,093.12",40000,40000,388,FA Arranged,Cust-2227,,,
48574908,Produce,2020/11/4 9:35,2020/11/4,PR48574908,1,Billed,2020/11/5,2020/11/6,2020/11/7,1,"Cust-2227 El Paso, Texas Food Bank (FB)",V-101558 Community Food Bank of Southern Arizona,CR10001,"-1,500.00","2,745.12",40000,40000,388,FA Arranged,Cust-2227,,,
48575901,Produce,2020/11/4 10:10,2020/11/4,PR48575901,1,Pending Billing,2020/11/10,,,6,Cust-2247 Indianapolis Co-op,V-101417 A & L Potato Co.,CR10066,"-1,500.00","3,500.00",42000,42000,1023.3,Vendor Arranged,Cust-2247,,,
48575902,Produce,2020/11/4 10:10,2020/11/4,PR48575902,1,Pending Billing,2020/11/9,,,5,Cust-2247 Indianapolis Co-op,V-101417 A & L Potato Co.,CR10066,"-1,500.00","3,500.00",42000,42000,1023.3,Vendor Arranged,Cust-2247,,,
48575903,Produce,2020/11/4 10:11,2020/11/4,PR48575903,1,Billed,2020/11/10,,,6,Cust-2247 Indianapolis Co-op,V-101417 A & L Potato Co.,CR10066,"-1,500.00","3,500.00",42000,42000,1023.3,Vendor Arranged,Cust-2247,,,
48575908,Produce,2020/11/4 10:25,2020/11/4,PR48575908,1,Billed,2020/11/12,2020/11/12,2020/11/13,8,Cust-2247 Indianapolis Co-op,V-103031 Penry Farms,CR10034,"-1,500.00","1,892.52",40000,40000,598,FA Arranged,Cust-2247,,,
48575909,Produce,2020/11/4 10:25,2020/11/4,PR48575909,1,Billed,2020/11/10,2020/11/10,2020/11/11,6,Cust-2247 Indianapolis Co-op,V-103031 Penry Farms,CR10034,"-1,500.00","1,892.52",40000,40000,598,FA Arranged,Cust-2247,,,
48575910,Produce,2020/11/4 10:26,2020/11/4,PR48575910,1,Billed,2020/11/11,2020/11/11,2020/11/12,7,Cust-2247 Indianapolis Co-op,V-103031 Penry Farms,CR10034,"-1,500.00","1,892.52",40000,40000,598,FA Arranged,Cust-2247,,,
48576706,Produce,2020/11/4 10:40,2020/11/4,PR48576706,1,Billed,2020/11/9,2020/11/9,2020/11/11,5,Cust-2247 Indianapolis Co-op,"V-103098 Muckland Regal, Inc.",CR10034,"-1,500.00","2,388.84",40000,42000,791,FA Arranged,Cust-2247,,,
48579019,Produce,2020/11/4 11:35,2020/11/4,PR48579019,1,Billed,2020/11/4,2020/11/4,2020/11/6,0,"Cust-2083 Tulsa, Oklahoma Food Bank (FB)",V-100857 ST. MARY'S FOOD BANK ALLIANCE,CR10001,"-1,500.00","4,128.64",40000,40000,1161,FA Arranged,Cust-2083,,,
48579033,Produce,2020/11/4 12:05,2020/11/4,PR48579033,1,Billed,2020/11/7,2020/11/7,2020/11/9,3,Cust-2271 Austin Co-op,V-101049 Ed Fields & Sons,CR10024,"-1,500.00","4,227.76",36300,36300,949,FA Arranged,Cust-2271,,,
48579036,Produce,2020/11/4 12:06,2020/11/4,PR48579036,1,Billed,2020/11/9,2020/11/9,2020/11/12,5,Cust-2271 Austin Co-op,V-101024 Feeding Washington,CR10034,"-1,500.00","5,975.88",39900,39900,1987,FA Arranged,Cust-2271,,,
48579237,Produce,2020/11/4 12:40,2020/11/4,PR48579237,1,Billed,2020/11/9,,,5,"Cust-2086 Washington, DC Food Bank (FB)",V-101044 Western Harvest,CR10043,"-1,500.00","2,050.00",42100,42100,580.1,Vendor Arranged,Cust-2086,,,
48579246,Produce,2020/11/4 12:55,2020/11/4,PR48579246,1,Billed,2020/11/9,,,5,"Cust-2086 Washington, DC Food Bank (FB)",V-101044 Western Harvest,CR10043,"-1,500.00","2,050.00",42000,42000,580.1,Vendor Arranged,Cust-2086,,,
48579248,Produce,2020/11/4 13:30,2020/11/4,PR48579248,1,Billed,2020/11/9,,,5,"Cust-2086 Washington, DC Food Bank (FB)",V-101044 Western Harvest,CR10043,"-1,500.00","2,050.00",39200,39200,580.1,Vendor Arranged,Cust-2086,,,
48579555,Produce,2020/11/4 14:10,2020/11/4,PR48579555,1,Billed,2020/11/10,,,6,"Cust-2086 Washington, DC Food Bank (FB)",V-101044 Western Harvest,CR10043,"-1,500.00","2,050.00",41000,41000,580.1,Vendor Arranged,Cust-2086,,,
48579557,Produce,2020/11/4 14:20,2020/11/4,PR48579557,1,Billed,2020/11/5,2020/11/5,2020/11/6,1,"Cust-2190 Fresno, CA Food Bank (FB)",V-103269 FYFFES North America,CR10024,"-1,204.00","1,204.00",38400,38400,225,FA Arranged,Cust-2190,,,
48579562,Produce,2020/11/4 14:35,2020/11/4,PR48579562,1,Billed,2020/11/9,2020/11/9,2020/11/10,5,Cust-2247 Indianapolis Co-op,"V-101114 Rice Lake Farms Packing, LLC",CR10034,"-1,344.32","1,344.32",40000,40000,293,FA Arranged,Cust-2247,,,
48579752,Produce,2020/11/4 14:40,2020/11/4,PR48579752,1,Billed,2020/11/9,,,5,"Cust-2205 Neptune, NJ Food Bank (FB)",V-101044 Western Harvest,CR10043,"-1,500.00","2,000.00",36108,36108,415.5,Vendor Arranged,Cust-2205,,,
48581471,Produce,2020/11/4 15:45,2020/11/4,PR48581471,1,Billed,2020/11/10,2020/11/11,2020/11/13,6,Cust-2271 Austin Co-op,V-101024 Feeding Washington,CR10057,"-1,500.00","4,550.00",42000,42000,1401,FA Arranged,Cust-2271,,,
48581490,Produce,2020/11/4 16:10,2020/11/4,PR48581490,1,Pending Billing/Partially Fulfilled,2020/11/9,,,5,Cust-2271 Austin Co-op,V-103043 Collaborative For Fresh Produce,CR10088,"-1,500.00","1,600.00",20000,20000,536.3,Vendor Arranged,Cust-2271,,,
48581493,Produce,2020/11/4 16:15,2020/11/4,PR48581493,1,Pending Billing/Partially Fulfilled,2020/11/10,,,6,Cust-2271 Austin Co-op,V-103043 Collaborative For Fresh Produce,CR10088,"-1,500.00","1,500.00",40000,40000,525.2,Vendor Arranged,Cust-2271,,,
48586705,Produce,2020/11/4 17:25,2020/11/4,PR48586705,1,Billed,2020/11/5,2020/11/5,2020/11/9,1,Cust-2245 Philadelphia Co-op,V-100995 Torrey Farms Inc,CR10015,"-1,500.00","2,597.84",40000,40000,331,FA Arranged,Cust-2245,,,
48595257,Produce,2020/11/5 8:50,2020/11/5,PR48595257,1,Billed,2020/11/10,2020/11/10,2020/11/12,5,"Cust-2078 Brooklyn Park, MN Food Bank (FB)",V-103016 Chesapeake Farms,CR10001,"-1,500.00","2,856.00",40000,40000,1275,FA Arranged,Cust-2078,,,
48595259,Produce,2020/11/5 8:55,2020/11/5,PR48595259,1,Partially Fulfilled,2020/11/13,,,8,"Cust-2124 Las Vegas, Nevada Food Bank (FB)",V-101024 Feeding Washington,CR10065,"-1,500.00","2,735.00",42000,40000,626.3,Vendor Arranged,Cust-2124,,,
48595260,Produce,2020/11/5 8:55,2020/11/5,PR48595260,1,Partially Fulfilled,2020/11/9,,,4,"Cust-2124 Las Vegas, Nevada Food Bank (FB)",V-101024 Feeding Washington,CR10065,"-1,500.00","2,235.00",42000,41000,626.3,Vendor Arranged,Cust-2124,,,
48595272,Produce,2020/11/5 9:45,2020/11/5,PR48595272,1,Billed,2020/11/9,,,4,"Cust-2217 Monroe, Louisiana Food Bank (FB)",V-101044 Western Harvest,CR10043,"-1,500.00","3,200.00",40000,40000,1564.1,Vendor Arranged,Cust-2217,,,
48595574,Produce,2020/11/5 9:20,2020/11/5,PR48595574,1,Billed,2020/11/6,,,1,"Cust-2217 Monroe, Louisiana Food Bank (FB)",V-101044 Western Harvest,CR10043,0,"3,200.00",42000,42000,1564.1,Vendor Arranged,Cust-2217,,,
48595678,Produce,2020/11/5 9:25,2020/11/5,PR48595678,1,Billed,2020/11/6,2020/11/6,2020/11/10,1,"Cust-2199 New York, New York Food Bank (FB)",V-103043 Collaborative For Fresh Produce,CR10034,"-1,500.00","5,296.06",40000,40000,1991,FA Arranged,Cust-2199,,,
48595793,Produce,2020/11/5 10:20,2020/11/5,PR48595793,1,Billed,2020/11/9,,,4,"Cust-2143 Barre, Vermont Food Bank (FB)",V-101044 Western Harvest,CR10043,"-1,330.00","1,330.00",23776,23776,249.4,Vendor Arranged,Cust-2143,,,
48595991,Produce,2020/11/5 10:15,2020/11/5,PR48595991,1,Pending Billing,2020/11/9,,,4,Cust-2271 Austin Co-op,V-103043 Collaborative For Fresh Produce,CR10088,"-1,500.00","1,500.00",40000,40000,520,Vendor Arranged,Cust-2271,,,
48596504,Produce,2020/11/5 11:25,2020/11/5,PR48596504,1,Billed,2020/11/11,2020/11/11,2020/11/12,6,Cust-2247 Indianapolis Co-op,V-100995 Torrey Farms Inc,CR10024,"-1,500.00","2,305.36",42000,42000,689,FA Arranged,Cust-2247,,,
48596916,Produce,2020/11/5 12:15,2020/11/5,PR48596916,1,Billed,2020/11/9,2020/11/9,2020/11/11,4,"Cust-2035 Houston, Texas Food Bank (FB)",V-102438 America's Grow-a-Row,CR10005,"-1,500.00","3,100.00",40500,40500,1588,FA Arranged,Cust-2035,,,
48597113,Produce,2020/11/5 12:25,2020/11/5,PR48597113,1,Billed,2020/11/5,2020/11/5,2020/11/6,0,"Cust-2037 Kansas City, Missouri Food Bank (FB)",V-100783 Greater Chicago Food Depository,CR10001,"-1,500.00","2,500.00",40960,40960,509,FA Arranged,Cust-2037,,,
